번호,문항,답안,해설
11,파견계약직 근로자도 직장내 괴롭힘의 피해자가 될 수 없다.,X,. 파견 계약직 근로자도 직장내괴롭힘의 피해자가 될 수 있다. (계약직등 고용형태 불문)
12,직장내 괴롭힘은 발생장소가 사업장 안인 경우만 인정된다.,X,직장내괴롭힘은 발생장소가 사업장내가 아니어도 인정된다.
13, 행위자의 의도가 없었더라도 그 행위로 인해 피해 근로자가 신체적 정신적 고통을 느꼈거나 근무환경이 예전보다 나빠졌다면 직장 내 괴롭힘이 될 수 있다.,O,행위자의 의도가 없었더라도 그 행위로 인해 피해 근로자가 신체적 정신적 고통을 느꼈거나 근무환경이 예전보다 나빠졌다면 직장내괴롭힘이 될수있다.
14,정당한 이유 없이 업무능력이나 성과를 인정하지 않는 것은 직장내 괴롭힘에 해당할 수 있다.,O,정당한 이유없이 업무능력이나 성과를 인정하지 않는 것은 직장내 괴롭힘에 해당할 수 있다.
15,"정당한 이유없이 훈련, 승진, 보상, 일상적인 대우 등에서 차별을 하는 것은 직장내 괴롭힘에 해당할 수 있다.",O,"정당한 이유없이 훈련, 승진, 보상, 일상적인 대우 등에서 차별을 하는 것은 직장내 괴롭힘에 해당할 수 있다."
16,다른 근로자들과 달리 특정근로자에 대해서만 모두가 꺼리는 힘든 업무를 반복적으로 부여하는 것도 직장내 괴롭힘이 될수있다.,O,다른 근로자들과 달리 특정근로자에 대해서만 모두가 꺼리는 힘든 업무를 반복적으로 부여하는 것도 직장내 괴롭힘이 될수있다.
17,직원에게 일을 거의 주지 않는 것은 직장내괴롭힘이 아니다.,X,허드렛일만 시키거나 일을 거의 주지 않는 것도 직장내괴롭힘이 될수있다.
18,정당한 이유 없이 업무와 관련된 중요한 정보제공이나 의사결정 과정에서 배제시키는 것은 직장내괴롭힘이 아니다.,X, 정당한 이유 없이 업무와 관련된 중요한 정보제공이나 의사결정 과정에서 배제시키는 것은 직장내괴롭힘이 될수있다.
19,"정당한 이유 없이 휴가나 병가, 각종 복지혜택 등을 쓰지 못하도록 압력을 행사하는 것은 직장내 괴롭힘이 아니다.",X,"정당한 이유 없이 휴가나 병가, 각종 복지혜택 등을 쓰지 못하도록 압력을 행사하는 것도 직장내괴롭힘이 될수있다."
20,"사적 심부름 등 개인적인 일상생활과 관련된 일을 하도록 지속적,반복적으로 지시하는 것은 직장내괴롭힘이 될 수있다.",O,"사적 심부름 등 개인적인 일상생활과 관련된 일을 하도록 지속적,반복적으로 지시하는 것은 직장내괴롭힘이 될 수있다."
21,정당한 이유 없이 부서이동을 강요하는 것은 직장내 괴롭힘이 될 수 있다.,O,정당한 이유 없이 부서이동을 강요하는 것은 직장내 괴롭힘이 될 수 있다.
22,다른 사람들 앞이나 온라인상에서 모욕감을 주는 언행을 하는 것은 직장내괴롭힘이 아니다.,X,다른 사람들 앞이나 온라인상에서 모욕감을 주는 언행을 하는 것도 직장내괴롭힘이 될 수 있다.
23,"의사와 상관없이 음주, 회식 참여를 강요하는 것은 직장내 괴롭힘이 될 수있다.",O,"의사와 상관없이 음주, 회식 참여를 강요하는 것은 직장내 괴롭힘이 될 수 있다."
24,"직원은 회사시설내에서 담당직무수행을 위한 목적이외의 사유로 연설, 집회를 하고자 할 때에는 사전에 시설관리책임자의 허가를 받아야 한다",O,"직원은 회사시설내에서 담당직무수행을 위한 목적이외의 사유로 연설, 집회, 유인물의 게시, 배포 기타 이와 유사한 행위를 하고자 할 때에는 사전에 시설관리책임자의 허가를 받아야 한다."
25,임신 후 10주인 여직원은 1일 2시간의 근로시간 단축을 신청할 수 없다.,X,"임신 후 12주 이내에 있는 여직원은 근로시간을 1일 2시간 단축을 신청할 수 있고, 이를 허용해야 한다."
26,임신중인 여직원도 연장근무가 가능하다,X,"임신 후 12주 이내 또는 36주 이후에 있는 여직원은 근로시간을 단축할 수 있으며, 임신 중인 여직원에게는 연장/야간근무를 시키지 않는다."
27,"퇴직금 지급을 지연했다고 하더라도 지연이자까지 지급해야 하는 것은 아니다.28. 회사는 근로자가 퇴직한 후라도 사용 기간, 업무 종류, 지위와 임금, 그 밖에 필요한 사항에 관한 증명서를 청구하면 사실대로 적은 증명서를 즉시 내주어야 한다.",X,원칙적으로 퇴직금의 지급 사유가 발생한 날부터 14일 이내에 지급하지 아니한 경우 그 다음 날부터 지급하는 날까지 연 20% 이율에 따른 지연이자를 지급하여야 한다.
28,,O,"사용자는 근로자가 퇴직한 후라도 사용 기간, 업무 종류, 지위와 임금, 그 밖에 필요한 사항에 관한 증명서를 청구하면 사실대로 적은 증명서를 즉시 내주어야 한다."
29,산후 1년이 지나지 않은 여성 근로자에게는 단체협약이 있는 경우라도 1일에 2시간을 초과하는 시간외근로를 시키지 못한다.,O,"사용자는 산후 1년이 지나지 아니한 여성에 대하여는 단체협약이 있는 경우라도 1일에 2시간, 1주에 6시간 1년에 150시간을 초과하는 시간외근로를 시키지 못한다."
