번호,문항,답안,해설
27,"그룹사와의 모든 용역/공사 수의계약(단, 물자구매 제외)은 금액과 관계없이 사전 세무 검토 대상이다.",O,"그룹사와의 모든 용역/공사 수의계약(단, 물자구매 제외)은 금액과 관계없이 사전 세무 검토 대상이다."
28, 그룹사와 용역/공사계약을 할 경우에는 세무검토를 받지 않아도 된다,X,"그룹사와의 모든 용역/공사 수의계약(단, 물자구매 제외)은 금액과 관계없이 사전 세무 검토 대상이다."
29,"자본거래, 투자액 10억원, 매출액 50억원 이상, 그룹사와의 모든 용역/공사 수의계약 등 경우 반드시 세무검토 절차를 준수해야 한다.",O,"자본거래, 투자액 10억원, 매출액 50억원 이상, 그룹사와의 모든 용역/공사 수의계약 등 경우 반드시 세무검토 절차를 준수해야 한다."
30,,,
31,,,
32, 부장/팀장/팀원 명의 법인카드 지출 결의시 본인 명의 법인카드 사용분은 본인 결재가 가능하다.,X,"본인명의 법인카드 사용분은 본인 결재가 금지되어 있다. 1회 사용액 30만원 이하시 직상급자 결재, 1회 사용액 30만원 초과시는 담당까지 결재"
33,,,
34,일반 및 사업경비 관련 부장/팀장/팀원 명의 법인카드 지출결의시 1회 사용액이 50만원 이상이면 팀장 전결로 결재한다,X,부장/팀장/팀원 명의 법인카드 지출결의시 1회 사용액이 30만원 초과면 담당까지 결재한다(담당 편제조직 부재시 부서장까지 결재)
35,일반 및 사업경비 관련 부장/팀장/팀원 명의 법인카드 지출결의시 1회 사용액이 30만원 미만이면 직상급자까지 결재하면 된다.,O, 일반 및 사업경비 관련 부장/팀장/팀원 명의 법인카드 지출결의시 1회 사용액이 30만원 미만이면 직상급자까지 결재한다
29,"자본거래, 투자액 10억원, 매출액 50억원 이상, 그룹사와의 모든 용역/공사 수의계약 등 경우 반드시 세무검토 절차를 준수해야 한다.",O,"자본거래, 투자액 10억원, 매출액 50억원 이상, 그룹사와의 모든 용역/공사 수의계약 등 경우 반드시 세무검토 절차를 준수해야 한다."
30,,,
31,,,
32, 부장/팀장/팀원 명의 법인카드 지출 결의시 본인 명의 법인카드 사용분은 본인 결재가 가능하다.,X,"본인명의 법인카드 사용분은 본인 결재가 금지되어 있다. 1회 사용액 30만원 이하시 직상급자 결재, 1회 사용액 30만원 초과시는 담당까지 결재"
33,,,
34,일반 및 사업경비 관련 부장/팀장/팀원 명의 법인카드 지출결의시 1회 사용액이 50만원 이상이면 팀장 전결로 결재한다,X,부장/팀장/팀원 명의 법인카드 지출결의시 1회 사용액이 30만원 초과면 담당까지 결재한다(담당 편제조직 부재시 부서장까지 결재)
35,일반 및 사업경비 관련 부장/팀장/팀원 명의 법인카드 지출결의시 1회 사용액이 30만원 미만이면 직상급자까지 결재하면 된다.,O, 일반 및 사업경비 관련 부장/팀장/팀원 명의 법인카드 지출결의시 1회 사용액이 30만원 미만이면 직상급자까지 결재한다
36, 지출 위임전결기준에서 IP 구매승인 요청 결의시 1회 구매금액(PR금액 30만원 초과 3억원 미만이면 부서장까지 승인이 필요하다,X,지출 위임전결기준에서 IP 구매승인 요청 결의시 1회 구매금액(PR금액) 30만원 초과 3억원 미만이면 '담당'까지 승인이 필요하다(담당 편제조직 부재시 부서장까지 결재)S
37,"유가증권(상품권)은 선구매, 대리수령을 금지하며, 외부직원(그룹사 대리점 등)에 대한 5만원 초과 유가증권 지급시에는 원천징수 하여야 한다.",O,"유가증권(상품권)은 선구매, 대리수령을 금지하며, 외부직원(그룹사,대리점 등)에 대한 5만원 초과 유가증권 지급시에는 원천징수 하여야 한다."
38,"프로젝트 종료 후 수고한 직원에게 모바일상품권을 구매하여 줄때 보상의 목적인 경우는 포상비로, 성과향상을 위한 조직활성화 목적인 경우는 부서운영비로 구매한다",O,"프로젝트 종료 후 수고한 직원에게 보상의 목적으로 모바일상품권을 구매하는 경우는 (포상비)로, 성과향상을 위한 조직활성화 측면에서 직원을 위한 모바일상품권을 구매하는 경우는 부서운영비)로 구매가 가능하다"
39,경영상의 이유로 재원운영기준 외 유가증권 구매 필요시 언제든 구매 가능하다.,X, 경영상의 이유로 재원운영기준 외 유가증권 구매 필요시 전략기획실 사전 검토를 요청한다.
40,"유가증권 구매시 고객 사은품, 프로모션 용도로 집행 가능한 예산계정은 사업경비이다",X," 유가증권 구매시 고객 사은품, 프로모션 등 용도로 집행 가능한 예산계정은 판매비이다."
41,회사는 우수직원 사기 진작을 위해 IP구매를 통한 모바일 상품권을 발송할 수 있다.,O,우수직원 사기 진작을 위해 IP구매를 통한 모바일 상품권을 발송할 수 있다.
42,유가증권(상품권)의 경우 직원의 경우 현금화가 가능하며 법인카드로 선구매가 가능하다,X,"유가증권(상품권)은 현금화 하지 않으며, 특히, 선구매, 대리수령을 금지한다"
42,우수직원 사기진작을 위해 IP구매를 통한 지류상품권 구입이 가능하다.,X,유가증권은 IP구매를 통한 모바일상품권 구매가 기본원칙(단 영업용 목적을 위해 영업 전산(KOS) 연동 고객 지급시 예외)
43, 우수직원 사기진작을 위해 IP구매를 통한 지류상품권 구입이 가능하다.,X, 유가증권의 투명 거래를 위하여 유가증권 구매는 IP구매를 이용하여 구매하여야 한다.
44,"유가증권 구매시 고객 사은품, 프로모션 등 용도로 집행 가능한 예산계정은 판매비 이다.",X,유가증권의 투명 거래를 위하여 유가증권 구매는 IP구매를 이용하여 구매하여야 한다.
45,"유가증권 구매시 고객 사은품, 프로모션 등 용도로 집행 가능한 예산계정은 판매비 이다.",O,". 유가증권 구매시 고객 사은품, 프로모션 등 용도로 집행가능한 예산계정은 판매비이다."
46,회사가 외부 직원(대리점 등)에게 3만원 이마트 상품권을 지급했다. 이는 유가증권이므로 금액에 상관없이 원천징수 대상이다.,X,"유가증권 지급시 kt직원은 금액에 상관없이 원천징수하고, 외부직원은 5만원 초과시 원천징수한다"
47,,X,
48,고객 사은품으로 나온 상품권은 고객편의를 위해 당사 직원이 대리로 수령해서 전달할 수 있다.,X,"유가증권(상품권 등)은 선구매도 불가하고, 대리 수령도 불가하다"
49,,,
50,"FCPA 적용대상에 대한 집행건 결의시, 적요에 집행대상자는 대표자 1명의 이름을 기재하고 총 인원만 명확히 표기하여야 한다.",X,FCPA 적용 대상자에 대하여 회사가 비용 부담시(대상자에게 경제적 이익 제공이 있는 경우) 거래상대방의 식별이 되는 직책명(또는 성명)을 반드시 기재하여야 하고 다수의 경우 모두 기재하여야 한다.
,,,"51. FCPA적용 대상자에게 업무추진비 집행할 경우 반드시 식별이 되는 직책명' 또는 성명을 기재해야 하며, 대상이 다수의 경우 모두 기재해야 한다."
51,". FCPA적용 대상에게 업무추진비 집행 후 적요 작성시 반드시 식별이 되는 직책명’ 또는 성명을 기재해야 하나, 대상이 다수이면 대표자 1명만 기재하면 된다",X,". 업무추진비 집행 후 적요 작성시 집행대상자는 '홍길동, 전우치 과장 총 2인과 같이 식별이 되는 직책명 또는 성명을 기재해야 하며, 대상이 다수의 경우 모두 기재해야 한다"
52,"무추진비 집행 후 적요 작성시 집행대상자는 '홍길동 과장'과 같이 식별이 되는 직책명 또는 성명을 기재해야 하며, 대상이 다수의 경우 모두 기재해야 한다",O,사내 부서간 업무협의시(그룹사 포함) 집행하는 비용은 부서운영비 계정을 사용하여야 한다.
,,,54. 사외 사업관계자와 원활한 관계 개선 목적인 경우 업무추진비를 사용한다.
53,사내 부서간 업무협의시(그룹사 포함) 집행하는 비용은 부서운영비 계정을 사용하여야한다.,O, 사내 부서간 업무협의시(그룹사 포함) 집행하는 비용은 부서운영비 계정을 사용하여야 한다.
54, 통신3사 MOU체결을 위한 업무회의를 진행하고 업무추진비로 식사비를 집행한 것은 재원운영기준에 적합하다,O, 사외 사업관계자와 원활한 관계 개선 목적인 경우 업무추진비를 사용한다.
55,이해관계자 접대성 대리운전비의 경우 업무추진비 집행 가능하며 사내 직원도 지원이 가능하다,X,"이해관계자 접대성 대리운전비의 경우 업무추진비 집행 가능하며, 사내 직원은 지원이 불가하다"
56,접대성 비용은 업무추진비로만 집행이 가능하다.,O,접대성 비용은 업무추진비 집행을 일원화한다.
57,부서운영비로 직원의 포상 및 격려 목적으로 사용 가능하다.,X,직원의 포상/격려는 포상비 계정으로만 사용 가능합니다.
58,상품/제품의 판매에 직접 관련하여 정상적으로 소요되는 비용은 판매비로 사용한다,O,상품/제품의 판매에 직접 관련하여 정상적으로 소요되는 비용은 판매비로 사용한다
59,판매비는 사업부서 및 영업조직에 한하여 집행 가능하다.,O,판매비는 사업부서 및 영업조직에 한하여 집행 가능하다.
